Route_Code,Internal_Code,Friendly_Name,SB_Ridership_DB,Regular,Articulated
1,1,1,001,Y,
2,2,2,002,Y,
4,4,4,004,Y,
6,6,6,006,Y,
7,7,7,007,Y,
8,8,8,008,Y,
11,11,11,011,Y,
12,12,12,012,Y,
13,13,13,013,Y,
14,14,14,014,Y,
15,15,15,015,Y,
16,16,16,016,Y,
17,17,17,017,Y,
18,18,18,018,Y,
19L,191,19L,019L,Y,
20,20,20,020,Y,
21,21,21,021,Y,
22,22,22,022,Y,
24,24,24,024,Y,
26,26,26,026,Y,
27,27,27,027,Y,
28X,281,28X,028X,Y,Y
29,29,29,029,Y,
31,31,31,031,Y,
36,36,36,036,Y,
38,38,38,038,Y,Y
39,39,39,039,Y,
40,40,40,040,Y,
41,41,41,041,Y,
43,43,43,043,Y,
44,44,44,044,Y,
48,48,48,048,Y,
51,51,51,051,Y,
51L,511,51L,051L,Y,
52L,521,52L,052L,Y,
53,53,53,053,Y,
53L,531,53L,053L,Y,
54,54,54,054,Y,
55,55,55,055,Y,
56,56,56,056,Y,
57,57,57,057,Y,
58,58,58,058,Y,
59,59,59,059,Y,
60,60,60,060,Y,
61A,611,61A,061A,Y,Y
61B,612,61B,061B,Y,Y
61C,613,61C,061C,Y,Y
61D,614,61D,061D,Y,Y
64,64,64,064,Y,
65,65,65,065,Y,
67,67,67,067,Y,
68,68,68,068,Y,
69,69,69,069,Y,Y
71,71,71,071,Y,
71A,711,71A,071A,Y,Y
71B,712,71B,071B,Y,Y
71C,713,71C,071C,Y,Y
71D,714,71D,071D,Y,Y
74,74,74,074,Y,
75,75,75,075,Y,
77,77,77,077,Y,
78,78,78,078,Y,Y
79,79,79,079,Y,Y
81,81,81,081,Y,
82,82,82,082,Y,Y
83,83,83,083,Y,
86,86,86,086,Y,Y
87,87,87,087,Y,
88,88,88,088,Y,Y
89,89,89,089,Y,
91,91,91,091,Y,Y
93,93,93,093,Y,
G2,900,G2,G2,Y,Y
G3,903,G3,G3,Y,Y
G31,931,G31,G31,Y,
O1,801,O1,O1,Y,Y
O5,805,O5,O5,Y,
O12,812,O12,O12,Y,Y
P1,444,P1,P1,Y,Y
P2,555,P2,P2,Y,Y
P3,666,P3,P3,Y,Y
P7,907,P7,P7,Y,Y
P10,910,P10,P10,Y,Y
P12,912,P12,P12,Y,Y
P13,913,P13,P13,Y,
P16,716,P16,P16,Y,
P17,717,P17,P17,Y,
P67,767,P67,P67,Y,Y
P68,768,P68,P68,Y,
P69,769,P69,P69,Y,Y
P71,771,P71,P71,Y,
P76,776,P76,P76,Y,Y
P78,978,P78,P78,Y,Y
Y1,401,Y1,Y1,Y,
Y45,445,Y45,Y45,Y,
Y46,946,Y46,Y46,Y,
Y47,947,Y47,Y47,Y,
Y49,949,Y49,Y49,Y,
RED,RED,RED,RED,,
BLLB,BLLB,BLLB,BLLB,,
BLSV,BLSV,BLSV,BLSV,,
MI,MI,Incline,000,,
,42,,,,
,998,,,,
,2222,,,,
